Police Force Area code,Police Force Area name,Community Safety Partnership code,Community Safety Partnership name,Local Authority code,Local Authority name,Population figures (mid-2020) - rounded to 100,Household figures (mid-2019) - rounded to 100,"Total recorded crime
 (excluding fraud)",Violence against the person,Homicide,Death or serious injury caused by illegal driving,Violence with injury,Violence without injury,Stalking and harassment,Sexual offences,Robbery,Theft offences,Burglary,"Residential burglary (per 1,000 population)","Residential burglary (per 1,000 household)",Non-residential burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
E23000036,Avon and Somerset,,,,,1729500,730600,72,26,0,0,6,11,9,2,1,20,4,3,6,1,5,0,2,4,5,8,2,0,11,1
E23000036,Avon and Somerset,E22000001,Bath and North East Somerset,E06000022,Bath and North East Somerset,196400,78700,55,18,0,0,5,7,6,2,1,17,3,2,6,1,4,0,1,4,5,6,1,0,8,1
E23000036,Avon and Somerset,E22000002,"Bristol, City of",E06000023,"Bristol, City of ",465900,194200,104,34,0,0,8,15,11,3,2,32,6,4,11,1,10,1,4,5,7,12,3,1,16,2
E23000036,Avon and Somerset,E22000003,North Somerset,E06000024,North Somerset,215600,95100,62,26,0,0,6,11,8,2,0,15,3,2,5,1,4,0,1,2,4,7,2,0,10,1
E23000036,Avon and Somerset,E22000369,Somerset,Combined Local Authorities,,563900,245000,62,25,0,0,6,10,9,2,0,13,3,2,4,1,2,0,1,3,5,7,2,0,10,1
E23000036,Avon and Somerset,E22000006,South Gloucestershire,E06000025,South Gloucestershire,287800,117600,55,20,0,0,4,8,7,2,0,17,3,2,5,1,4,0,1,4,4,6,1,0,7,1
E23000036,Avon and Somerset,,Unassigned Avon and Somerset,,,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000026,Bedfordshire,,,,,682300,265900,71,26,0,0,6,11,8,2,1,23,4,3,8,1,7,1,1,4,6,7,3,1,8,2
E23000026,Bedfordshire,E22000009,Bedford,E06000055,Bedford,174700,70500,82,29,0,0,7,13,9,2,1,27,6,4,10,2,8,1,2,5,6,8,3,1,9,2
E23000026,Bedfordshire,E22000353,Central Bedfordshire,E06000056,Central Bedfordshire,294100,117800,51,18,0,0,4,7,7,1,1,18,3,2,6,1,6,0,1,3,5,5,1,0,6,1
E23000026,Bedfordshire,E22000010,Luton,E06000032,Luton,213500,77500,86,33,0,0,8,15,10,2,1,25,4,3,9,1,8,1,1,5,6,8,4,1,10,2
E23000026,Bedfordshire,,Unassigned Bedfordshire,,,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000023,Cambridgeshire,,,,,859800,343500,73,27,0,0,6,13,9,3,1,22,4,2,6,2,5,1,4,3,6,8,2,1,8,2
E23000023,Cambridgeshire,E22000013,Cambridge,E07000008,Cambridge,125100,44300,98,30,0,0,6,16,8,3,1,38,4,3,7,1,5,1,17,5,7,9,3,1,11,2
E23000023,Cambridgeshire,E22000014,East Cambridgeshire,E07000009,East Cambridgeshire,90200,37500,49,19,0,0,4,9,7,2,0,15,4,2,5,2,3,0,1,2,4,6,1,0,5,1
E23000023,Cambridgeshire,E22000015,Fenland,E07000010,Fenland,102100,43700,70,30,0,0,7,13,9,2,0,18,4,2,4,2,3,0,1,3,6,9,2,1,7,2
E23000023,Cambridgeshire,E22000016,Huntingdonshire,E07000011,Huntingdonshire,179000,74600,55,21,0,0,4,9,7,2,0,15,3,2,4,1,4,0,1,2,5,6,2,0,5,1
E23000023,Cambridgeshire,E22000017,Peterborough,E06000031,Peterborough,202600,79200,101,40,0,0,8,20,12,4,1,27,4,3,8,1,7,1,3,5,7,11,4,1,11,3
E23000023,Cambridgeshire,E22000018,South Cambridgeshire,E07000012,South Cambridgeshire,160900,64200,42,15,0,0,3,7,5,1,0,13,4,2,6,2,4,0,1,1,4,5,1,0,4,1
E23000023,Cambridgeshire,,Unassigned Cambridgeshire,,,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
E23000006,Cheshire,,,,,1069600,463600,82,38,0,0,9,12,17,3,0,15,3,2,5,1,2,0,1,4,5,8,2,0,14,2
E23000006,Cheshire,E22000354,Cheshire East,E06000049,Cheshire East,386700,168100,73,33,0,0,8,11,15,3,0,15,3,3,6,1,2,0,1,4,5,7,1,0,12,1
