Region code,Region name ,Code,Name,1997,1998,,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
E12000001,North East,E06000001,Hartlepool,2.64,2.74,,2.85,3.02,2.75,2.9,3.2,3.19,2.88,4.2,5.02,5.23,4.7,4.73,4.48,4.14,4.26,4.65,4.7,4.6,4.8,4.82,5,4.57
E12000001,North East,E06000002,Middlesbrough,2.83,2.74,,2.89,2.73,2.58,2.47,2.56,3.49,4.17,4.9,5.27,4.69,4.87,5.03,4.67,4.26,4.48,5.01,5.01,5.09,4.88,5.28,5.15,4.96
E12000001,North East,E06000003,Redcar and Cleveland,2.34,2.45,,2.12,2.21,2.39,2.69,3.4,3.64,3.99,5.02,5.09,4.74,4.52,4.97,4.41,4.86,4.62,4.65,4.67,5.31,5.11,5.11,5.03,5.11
E12000001,North East,E06000004,Stockton-on-Tees,2.96,2.93,,3.05,3.06,3.07,3.53,4.29,4.84,5.38,5.72,5.84,5.79,5.19,5.53,5.25,5.34,5.28,5.3,5.33,5.02,5.64,5.5,5.04,4.85
E12000001,North East,E06000005,Darlington,3.04,3.46,,3.14,3.24,3.19,3.18,3.94,5.2,6.04,5.72,5.35,5.45,5.3,5.62,5.14,5.05,5.64,4.9,4.93,4.93,5.37,5.34,5.02,5.18
E12000001,North East,E06000047,County Durham,:,:,,:,:,:,:,3.38,4.4,4.85,5.61,5.43,5.47,4.93,5.12,4.64,4.54,4.47,4.64,4.57,4.59,4.54,4.53,4.59,4.42
E12000001,North East,E06000057,Northumberland,:,:,,:,:,:,:,4.72,5.96,6.45,6.51,6.75,6.93,6.05,6.3,6.36,5.87,6.04,6.53,6.5,6.26,6.42,6.59,6.56,6.01
E12000001,North East,E08000021,Newcastle upon Tyne,3.08,3.29,,3.31,3,3.3,3.95,5.03,6.19,5.75,6.51,6.61,6.43,5.43,5.62,5.36,5.22,5.43,5.44,5.55,5.78,5.47,5.75,5.71,5.52
E12000001,North East,E08000022,North Tyneside,3.4,3.37,,3.5,3.3,3.24,3.31,4.41,5.46,5.88,6.22,6.67,5.94,5.46,5.69,5.43,5.44,5.48,5.75,6.06,6.12,6.3,6.11,6.04,6.22
E12000001,North East,E08000023,South Tyneside,2.98,2.72,,2.74,2.77,2.63,2.78,3.58,4.57,5.27,5.31,5.81,5.4,5.12,5.96,4.56,4.71,4.8,4.89,5.29,5.89,5.73,5.8,5.56,4.92
E12000001,North East,E08000024,Sunderland,2.94,2.83,,2.87,2.89,2.75,3.12,3.71,4.68,4.9,5.09,5.21,4.98,4.65,4.72,4.62,4.63,4.54,4.59,4.75,4.62,4.78,4.87,4.79,4.39
E12000001,North East,E08000037,Gateshead,:,:,,:,:,:,:,4.2,4.83,4.72,5.66,5.75,5.73,5.56,5.22,4.76,4.5,4.89,4.88,5.07,5.19,5.25,5.32,5.35,5.41
E12000002,North West,E06000006,Halton,2.83,2.7,,2.74,2.8,3.02,2.91,3.71,4.44,4.87,4.59,5.1,4.66,4.63,4.68,4.7,4.57,4.75,4.66,4.55,4.92,4.76,4.79,4.92,4.84
E12000002,North West,E06000007,Warrington,3.33,3.45,,3.61,3.6,3.75,4.5,4.93,6.43,6.37,6.69,5.83,5.46,5.19,5.66,5.53,5.38,5.77,5.71,5.99,6.14,6.35,6.31,6.75,6.27
