Region/Country code,Region/Country name,Local authority code ,Local authority name,Year ending Dec 1995,Year ending Mar 1996,Year ending Jun 1996,Year ending Sep 1996,Year ending Dec 1996,Year ending Mar 1997,Year ending Jun 1997,Year ending Sep 1997,Year ending Dec 1997,Year ending Mar 1998,Year ending Jun 1998,Year ending Sep 1998,Year ending Dec 1998,Year ending Mar 1999,Year ending Jun 1999,Year ending Sep 1999,Year ending Dec 1999,Year ending Mar 2000,Year ending Jun 2000,Year ending Sep 2000,Year ending Dec 2000,Year ending Mar 2001,Year ending Jun 2001,Year ending Sep 2001,Year ending Dec 2001,Year ending Mar 2002,Year ending Jun 2002,Year ending Sep 2002,Year ending Dec 2002,Year ending Mar 2003,Year ending Jun 2003,Year ending Sep 2003,Year ending Dec 2003,Year ending Mar 2004,Year ending Jun 2004,Year ending Sep 2004,Year ending Dec 2004,Year ending Mar 2005,Year ending Jun 2005,Year ending Sep 2005,Year ending Dec 2005,Year ending Mar 2006,Year ending Jun 2006,Year ending Sep 2006,Year ending Dec 2006,Year ending Mar 2007,Year ending Jun 2007,Year ending Sep 2007,Year ending Dec 2007,Year ending Mar 2008,Year ending Jun 2008,Year ending Sep 2008,Year ending Dec 2008,Year ending Mar 2009,Year ending Jun 2009,Year ending Sep 2009,Year ending Dec 2009,Year ending Mar 2010,Year ending Jun 2010,Year ending Sep 2010,Year ending Dec 2010,Year ending Mar 2011,Year ending Jun 2011,Year ending Sep 2011,Year ending Dec 2011,Year ending Mar 2012,Year ending Jun 2012,Year ending Sep 2012,Year ending Dec 2012,Year ending Mar 2013,Year ending Jun 2013,Year ending Sep 2013,Year ending Dec 2013,Year ending Mar 2014,Year ending Jun 2014,Year ending Sep 2014,Year ending Dec 2014,Year ending Mar 2015,Year ending Jun 2015,Year ending Sep 2015,Year ending Dec 2015,Year ending Mar 2016,Year ending Jun 2016,Year ending Sep 2016,Year ending Dec 2016,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,Year ending Mar 2018,Year ending Jun 2018,Year ending Sep 2018,Year ending Dec 2018,Year ending Mar 2019,Year ending Jun 2019,Year ending Sep 2019,Year ending Dec 2019,Year ending Mar 2020,Year ending Jun 2020,Year ending Sep 2020,Year ending Dec 2020,Year ending Mar 2021,Year ending Jun 2021
E12000001,North East,E06000001,Hartlepool,34725,35000,36000,36400,37500,37100,37500,36500,35000,35000,35975,37000,36000,37500,37000,37500,38975,39000,39000,38000,37500,36000,36000,38500,39000,40000,42750,43950,43998,44000,44050,45000,47500,48000,47950,50000,50000,50000,55000,57500,64000,70250,75000,82000,85000,89950,93500,97500,101000,105000,105000,102000,98000,92500,90000,90000,92500,97000,100000,100000,100000,100000,99973,98000,95000,92000,92000,95000,100000,105000,106000,109000,108000,105000,105000,103000,107500,110000,110000,110000,109950,110000,110000,110000,110000,110000,115000,112500,112000,113750,110000,110000,112000,113500,115000,119000,120000,120000,124975,125000,123000,124000,125000
E12000001,North East,E06000002,Middlesbrough,37500,38500,38000,39500,40000,40995,42000,42500,43000,42725,41000,40000,40000,40125,43000,45000,45000,45000,45000,44500,44950,44100,44000,44500,45000,45500,46500,45500,45000,44000,42000,45000,47000,49000,57500,60000,62000,65000,66725,70000,75000,81875,86750,92375,99000,100000,100000,102000,100000,100000,100000,95000,90000,90000,92500,102000,109250,108000,105000,104975,99975,99973,97075,93000,94000,95000,96750,99000,100000,100000,100000,102000,104000,110000,113000,113500,112500,110000,110000,110000,115000,115000,117500,120000,118250,118500,115000,112000,115000,112500,118000,119998,115500,116500,115000,117500,120000,120000,120000,120000,122500,125500,125250
E12000001,North East,E06000003,Redcar and Cleveland,41400,41500,42000,42000,42000,42000,42000,43500,44000,43500,44500,44000,44950,44500,44000,44000,44000,45000,46000,47250,48500,49000,49000,49950,50000,50000,50000,51000,53500,54950,59000,64495,68000,71950,77254,82000,85000,90000,92500,95000,100000,101000,105200,110000,115000,119000,120000,120000,121000,122000,120000,117500,113500,110000,110000,113750,116000,118995,120000,117500,116750,116000,110500,110000,110000,110000,111250,112250,112500,113500,113000,112000,115000,115000,117000,120000,120000,122500,122975,123000,122748,122500,124000,123000,122000,121000,121000,122000,124000,124000,125000,125000,123000,123000,121000,121000,125000,125000,127000,127500,130000,135000,136500
E12000001,North East,E06000004,Stockton-on-Tees,41973,42000,42000,42450,43000,43500,44375,44600,44775,45000,45000,45000,45500,46000,46500,47000,48000,48500,49000,49950,49995,49950,51000,52500,54375,56000,57500,59000,60000,64000,67950,74998,79950,82950,89000,95000,98000,100000,102500,105000,110000,114000,117000,119950,121000,124950,125000,128100,129500,129000,125000,124950,122501,120000,121000,122000,125000,125000,125000,126500,125000,125000,124995,122500,120000,121000,120000,123500,125000,125000,125000,125000,125000,128950,129000,130000,130975,130000,130000,132500,135000,133000,133000,132000,130000,130000,132500,131000,132500,133725,133000,135000,135000,135000,135000,135500,137500,138000,138250,139950,143500,145000,147000
E12000001,North East,E06000005,Darlington,39075,38900,38875,39000,39000,39500,40000,41125,42900,43250,43000,44000,44000,44200,44975,44500,45000,45125,46000,46250,46000,46950,47725,49000,50125,51500,52500,55000,56000,57973,59995,65000,73000,77500,84000,89500,94000,97500,100000,100000,100000,105000,105000,109950,112500,115000,117500,120000,120000,120829,120708,119000,120000,117500,116500,117500,120000,121000,123000,123000,120000,124250,120000,119000,119000,117500,115000,118000,113000,113000,115000,115000,116250,116500,119000,120000,123000,123000,122250,123000,122500,124575,125000,127500,125000,128500,130000,130600,131000,129472,130000,129000,130000,130000,129000,128500,130000,131000,132750,135000,136500,140000,144000
E12000001,North East,E06000047,County Durham,34500,35000,35250,35750,36500,36750,37500,38000,38500,38500,38500,38498,38750,39500,40000,41000,42500,42500,43500,43500,43000,42500,42500,43000,43500,44000,45000,45500,46950,48950,50000,54500,58500,60000,67000,73000,78000,80000,83000,85000,86500,88000,90000,92500,95000,96000,97000,98955,100000,100000,100000,100000,97000,96000,95000,95000,98750,100000,100000,102000,100000,97500,95000,93675,92500,93500,93000,93000,93500,94000,95000,95000,96000,96000,99000,100000,100000,100000,99995,99786,100000,100000,100000,100000,100000,102000,102500,103000,103000,103500,104998,105000,105000,105000,107000,108000,109000,110000,110000,108474,112000,115000,117500
E12000001,North East,E06000057,Northumberland,43475,43000,43000,44500,46000,47000,48000,48000,48500,48500,48500,49950,50000,50000,51000,52500,53500,54500,54950,55000,55000,55000,56000,57325,59000,59950,60000,63000,67500,69950,74500,79950,84950,88500,94000,100750,110000,114950,115000,115000,118000,119500,123500,129500,130000,135000,135000,135000,137000,137000,139000,140000,138713,138913,132750,130000,135000,137000,140000,140000,140000,138975,137125,131300,130000,130000,129975,133000,132500,133000,133000,132000,135000,135000,137500,140000,141850,144950,145000,148350,149000,147500,147500,147250,149950,150000,151325,150000,150000,148500,150000,150000,150000,152000,150000,152000,150000,150000,153500,155000,165000,173750,175000
E12000001,North East,E08000021,Newcastle upon Tyne,45000,45375,45000,46000,47000,47000,48000,49000,49000,49500,50000,50500,52000,52000,52500,55000,55000,56000,56950,56500,57000,58000,58950,60000,63000,65000,67950,72000,75000,79000,83000,89950,96000,103500,113375,119500,123000,122000,120000,120000,120000,125000,130000,136000,140000,140125,143000,143000,143000,143000,140000,140000,135500,134000,130000,129950,134000,135000,136500,139000,138000,137000,135000,132500,128000,130000,130000,130000,130500,130000,130000,132000,130750,132975,135000,135000,140000,140000,143000,145350,146500,147500,150000,150000,151000,153000,150500,150000,151053,153500,154550,154500,153000,150000,150000,153000,153198,155000,158000,160000,164000,170000,173000
E12000001,North East,E08000022,North Tyneside,43950,43000,42250,43000,44000,45000,46000,48000,48000,48000,49000,48000,49000,49000,48500,49950,51000,51000,52000,52000,52000,53000,53500,53950,54000,55000,58000,59950,66000,68950,73500,79950,83500,88000,95000,104000,110000,112250,112000,110000,113000,115000,118500,120000,124950,125000,128000,130000,130000,130000,129000,126500,124950,125000,125000,125000,130000,130000,132000,137000,135000,134000,132000,130000,127500,130000,130000,130500,133450,133000,133000,133000,133050,135000,135950,138000,140000,140000,141000,145000,145000,146250,149000,149500,150000,150000,150000,150000,152000,154000,155000,155000,155000,153000,150000,155000,155000,158000,159000,160000,165000,170000,174000
E12000001,North East,E08000023,South Tyneside,38500,38500,39000,39000,39950,41000,43000,43725,44500,44000,44000,44000,44000,45000,45750,46000,46500,46500,46500,46500,47000,47000,47000,48000,48375,48000,49000,49500,51000,53000,57000,60000,66000,70000,77725,81000,85000,88000,89950,93975,96000,98000,100000,104000,105000,110000,112000,112000,115000,113950,112500,111975,108000,105000,103750,104000,107250,109000,108750,110000,109000,110000,110000,101500,100000,100000,99000,103500,105000,107000,110000,110000,110000,110000,111000,110000,113000,115000,117000,117500,118000,119950,120000,122000,122000,121000,121000,121000,122000,124950,125000,128000,127750,127000,128000,127000,129000,130000,130000,130000,135000,142000,143000
