LA Code1,Area Code1,Area,Count of rents,Mean,Lower quartile,Median,Upper quartile
NA,E92000001,ENGLAND,448060,864,565,730,995
NA,E12000001,NORTH EAST,24010,566,425,500,612
1355,E06000047,County Durham UA,5690,502,395,450,550
1350,E06000005,Darlington UA,2380,494,395,450,550
724,E06000001,Hartlepool UA,860,485,405,475,550
734,E06000002,Middlesbrough UA,1260,490,395,475,550
2935,E06000057,Northumberland UA,1910,536,400,480,595
728,E06000003,Redcar and Cleveland UA,1210,507,425,495,550
738,E06000004,Stockton-on-Tees UA,1740,573,460,530,625
NA,E11000007,Tyne and Wear (Met County),8960,657,465,569,700
4505,E08000037,Gateshead,1190,551,450,525,625
4510,E08000021,Newcastle upon Tyne,3220,844,564,695,900
4515,E08000022,North Tyneside,1750,589,450,550,650
4520,E08000023,South Tyneside,850,501,425,475,550
4525,E08000024,Sunderland,1950,541,450,500,595
NA,E12000002,NORTH WEST,67140,636,485,585,725
2372,E06000008,Blackburn with Darwen UA,1250,511,425,480,575
2373,E06000009,Blackpool UA,1740,540,450,550,607
660,E06000049,Cheshire East UA,3400,795,550,675,895
665,E06000050,Cheshire West and Chester UA,3940,689,550,650,775
650,E06000006,Halton UA,1010,548,455,525,600
655,E06000007,Warrington UA,2000,660,525,600,725
NA,E10000006,Cumbria,6680,555,433,525,645
905,E07000026,Allerdale,1100,522,420,490,595
910,E07000027,Barrow-in-Furness,700,560,445,525,625
915,E07000028,Carlisle,2240,493,400,465,550
920,E07000029,Copeland,710,522,425,495,595
925,E07000030,Eden,800,585,488,560,650
930,E07000031,South Lakeland,1140,708,585,675,778
NA,E11000001,Greater Manchester (Met County),23340,696,525,650,800
4205,E08000001,Bolton,2570,592,475,550,650
4210,E08000002,Bury,1550,644,525,600,700
4215,E08000003,Manchester,5690,838,675,800,950
4220,E08000004,Oldham,1310,598,495,575,675
4225,E08000005,Rochdale,1580,596,475,550,700
4230,E08000006,Salford,2020,770,615,725,875
4235,E08000007,Stockport,1830,774,650,720,850
4240,E08000008,Tameside,1830,588,500,575,650
4245,E08000009,Trafford,1390,904,700,825,995
4250,E08000010,Wigan,3580,538,450,500,600
NA,E10000017,Lancashire,12620,576,460,550,650
2315,E07000117,Burnley,840,477,390,450,525
2320,E07000118,Chorley,1300,606,495,575,665
2325,E07000119,Fylde,870,619,475,575,700
2330,E07000120,Hyndburn,940,482,412,469,535
2335,E07000121,Lancaster,1720,601,500,575,675
2340,E07000122,Pendle,860,498,395,475,550
2345,E07000123,Preston,1770,568,475,550,625
2350,E07000124,Ribble Valley,910,684,538,600,750
2355,E07000125,Rossendale,400,554,430,500,603
2360,E07000126,South Ribble,1340,603,525,575,650
2365,E07000127,West Lancashire,650,569,450,525,660
2370,E07000128,Wyre,1030,591,500,595,650
NA,E11000002,Merseyside (Met County),11180,590,450,550,675
4305,E08000011,Knowsley,740,641,525,615,755
4310,E08000012,Liverpool,4700,569,429,525,650
4320,E08000014,Sefton,1600,602,475,575,675
4315,E08000013,St. Helens,1600,589,475,550,700
4325,E08000015,Wirral,2540,606,475,575,695
NA,E12000003,YORKSHIRE AND THE HUMBER,43170,631,475,575,720
2001,E06000011,East Riding of Yorkshire UA,1880,582,450,535,650
2004,E06000010,"Kingston upon Hull, City of UA",2460,447,375,425,495
2002,E06000012,North East Lincolnshire UA,1530,474,410,455,525
2003,E06000013,North Lincolnshire UA,1060,517,433,500,575
2741,E06000014,York UA,4300,838,675,775,895
NA,E10000023,North Yorkshire,5710,693,535,625,750
2705,E07000163,Craven,250,624,525,595,675
2710,E07000164,Hambleton,930,641,525,595,700
2715,E07000165,Harrogate,1760,853,625,750,900
2720,E07000166,Richmondshire,930,597,500,575,650
2725,E07000167,Ryedale,590,691,550,625,750
2730,E07000168,Scarborough,760,565,450,550,637
2735,E07000169,Selby,500,635,525,595,695
NA,E11000003,South Yorkshire (Met County),11200,585,470,550,650
4405,E08000016,Barnsley,1640,497,420,455,550
4410,E08000017,Doncaster,2300,530,435,520,600
4415,E08000018,Rotherham,1600,534,450,525,575
4420,E08000019,Sheffield,5660,647,525,600,725
NA,E11000006,West Yorkshire (Met County),15040,643,477,595,725
4705,E08000032,Bradford,2480,570,450,550,625
4710,E08000033,Calderdale,2100,533,450,500,595
